accessor/identifier,accessor/identifierType,category,identifier,kind,timeStamp,type,outOfProcess,initiatedType,context,domain,contextVerificationType,domainType,firstTimeStamp,bundleID,domainOwner,hits,domainClassification
com.google.Maps,bundleID,location,A5FBE2C1-AC94-42B3-A9F4-45E1D816663A,intervalBegin,2022-04-08T01:42:22.665+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,E77E3E06-0C0C-4A09-960B-858BDEC6FFA5,intervalEnd,2022-04-08T01:42:22.921+04:00,access,,,,,,,,,,,
com.google.Maps,bundleID,location,A5FBE2C1-AC94-42B3-A9F4-45E1D816663A,intervalEnd,2022-04-08T01:42:32.799+04:00,access,,,,,,,,,,,
com.apple.mobilecal,bundleID,contacts,82D488EE-06B6-46F2-8014-1A79938C8C07,intervalBegin,2022-04-08T01:44:00.066+04:00,access,,,,,,,,,,,
com.apple.mobilemail,bundleID,contacts,9BA99FF2-01F5-4977-8B5F-AB2510C6604C,intervalBegin,2022-04-08T01:44:00.092+04:00,access,,,,,,,,,,,
com.apple.mobilemail,bundleID,contacts,E23FF894-044B-4ADB-BF7D-89115805ECEA,intervalBegin,2022-04-08T01:44:40.526+04:00,access,,,,,,,,,,,
com.apple.mobilecal,bundleID,contacts,82D488EE-06B6-46F2-8014-1A79938C8C07,intervalEnd,2022-04-08T01:44:41.194+04:00,access,,,,,,,,,,,
com.apple.mobilemail,bundleID,contacts,E23FF894-044B-4ADB-BF7D-89115805ECEA,intervalEnd,2022-04-08T01:44:46.749+04:00,access,,,,,,,,,,,
com.apple.mobilemail,bundleID,contacts,9BA99FF2-01F5-4977-8B5F-AB2510C6604C,intervalEnd,2022-04-08T01:45:02.447+04:00,access,,,,,,,,,,,
com.apple.mobilemail,bundleID,contacts,CDD802BD-EC8E-40DD-9602-20CC15B24C43,intervalBegin,2022-04-08T01:45:07.616+04:00,access,,,,,,,,,,,
com.apple.mobilemail,bundleID,contacts,CDD802BD-EC8E-40DD-9602-20CC15B24C43,intervalEnd,2022-04-08T01:45:16.120+04:00,access,,,,,,,,,,,
com.apple.mobilemail,bundleID,contacts,374AE0C7-DA04-49EE-8724-66986F0F9B85,intervalBegin,2022-04-08T01:45:30.031+04:00,access,,,,,,,,,,,
com.apple.mobilemail,bundleID,contacts,374AE0C7-DA04-49EE-8724-66986F0F9B85,intervalEnd,2022-04-08T01:45:36.267+04:00,access,,,,,,,,,,,
com.apple.mobilemail,bundleID,contacts,C9507D7A-67A3-4CB1-8587-2CFE176AF96D,intervalBegin,2022-04-08T01:48:27.787+04:00,access,,,,,,,,,,,
com.apple.mobilemail,bundleID,contacts,C9507D7A-67A3-4CB1-8587-2CFE176AF96D,intervalEnd,2022-04-08T01:48:27.787+04:00,access,,,,,,,,,,,
com.apple.mobilemail,bundleID,contacts,80EAC747-5087-4043-BDCE-F1675994C0DD,intervalBegin,2022-04-08T01:48:28.109+04:00,access,,,,,,,,,,,
com.apple.mobilemail,bundleID,contacts,80EAC747-5087-4043-BDCE-F1675994C0DD,intervalEnd,2022-04-08T01:48:29.048+04:00,access,,,,,,,,,,,
com.apple.weather,bundleID,location,78AE73E7-2275-473C-85EF-61230A65AC46,intervalBegin,2022-04-08T01:49:04.405+04:00,access,,,,,,,,,,,
com.apple.weather,bundleID,location,78AE73E7-2275-473C-85EF-61230A65AC46,intervalEnd,2022-04-08T01:49:14.443+04:00,access,,,,,,,,,,,
com.apple.Health,bundleID,contacts,A9AC9D8A-8EB3-4C5F-8F68-D8E8AF58DBD6,intervalBegin,2022-04-08T01:49:20.056+04:00,access,,,,,,,,,,,
com.apple.Health,bundleID,contacts,A9AC9D8A-8EB3-4C5F-8F68-D8E8AF58DBD6,intervalEnd,2022-04-08T01:50:05.051+04:00,access,,,,,,,,,,,
com.apple.mobilecal,bundleID,contacts,F399AF28-132D-4C98-88D3-91EC06CC6BCB,intervalBegin,2022-04-08T01:57:20.203+04:00,access,,,,,,,,,,,
com.apple.mobilemail,bundleID,contacts,648CE7E3-B3CE-40BD-8351-53655E5DF0A5,intervalBegin,2022-04-08T01:57:20.207+04:00,access,,,,,,,,,,,
com.google.Maps,bundleID,location,97EE3DFB-B5E4-4B2D-862E-99D8BA6489D1,intervalBegin,2022-04-08T01:57:33.499+04:00,access,,,,,,,,,,,
com.google.Maps,bundleID,location,97EE3DFB-B5E4-4B2D-862E-99D8BA6489D1,intervalEnd,2022-04-08T01:57:43.582+04:00,access,,,,,,,,,,,
com.apple.mobilemail,bundleID,contacts,648CE7E3-B3CE-40BD-8351-53655E5DF0A5,intervalEnd,2022-04-08T01:57:52.814+04:00,access,,,,,,,,,,,
com.apple.mobilecal,bundleID,contacts,F399AF28-132D-4C98-88D3-91EC06CC6BCB,intervalEnd,2022-04-08T01:57:56.115+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,D3651E2B-7E1D-4C6E-8825-B2B520BA1F53,intervalBegin,2022-04-08T02:00:13.572+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,D3651E2B-7E1D-4C6E-8825-B2B520BA1F53,intervalEnd,2022-04-08T02:00:41.227+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,7402AE71-A94D-44FF-A730-C26B053EC6E5,intervalBegin,2022-04-08T02:00:44.017+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,contacts,19F5E0B1-13C2-43C3-B13E-B3F95A3A800F,intervalBegin,2022-04-08T02:00:44.188+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,7402AE71-A94D-44FF-A730-C26B053EC6E5,intervalEnd,2022-04-08T02:01:28.908+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,contacts,19F5E0B1-13C2-43C3-B13E-B3F95A3A800F,intervalEnd,2022-04-08T02:01:29.152+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,0C005D5B-DE9C-41E9-B8A9-EB7B8929E3E4,intervalBegin,2022-04-08T02:03:21.680+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,0C005D5B-DE9C-41E9-B8A9-EB7B8929E3E4,intervalEnd,2022-04-08T02:03:25.411+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,A3B7FF0C-D308-497A-9222-28EB5BA20D36,intervalBegin,2022-04-08T02:03:32.477+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,A3B7FF0C-D308-497A-9222-28EB5BA20D36,intervalEnd,2022-04-08T02:03:38.314+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,121A329E-83D3-40DC-97C5-93B690271043,intervalBegin,2022-04-08T02:03:43.098+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,121A329E-83D3-40DC-97C5-93B690271043,intervalEnd,2022-04-08T02:03:44.059+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,C2A2F947-8C7B-4AFF-931A-319220C9899E,intervalBegin,2022-04-08T02:03:58.723+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,C2A2F947-8C7B-4AFF-931A-319220C9899E,intervalEnd,2022-04-08T02:03:58.915+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,C96A494D-217C-4ADA-94C4-9293503F62FF,intervalBegin,2022-04-08T02:04:15.195+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,C96A494D-217C-4ADA-94C4-9293503F62FF,intervalEnd,2022-04-08T02:04:50.231+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,C08E0BE6-410B-48A8-B8E2-40C6458AF7B9,intervalBegin,2022-04-08T02:05:06.895+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,contacts,2E3A8736-DBD6-4EEF-AF38-B2F8F9708047,intervalBegin,2022-04-08T02:06:21.244+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,B8FDFC21-47EC-41B1-9FC0-EEDC05630C51,intervalBegin,2022-04-08T02:06:55.876+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,B8FDFC21-47EC-41B1-9FC0-EEDC05630C51,intervalEnd,2022-04-08T02:06:57.114+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,21BCA8F1-EF1D-4788-9DBE-30CBDBA8682B,intervalBegin,2022-04-08T02:07:09.591+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,21BCA8F1-EF1D-4788-9DBE-30CBDBA8682B,intervalEnd,2022-04-08T02:07:11.132+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,contacts,2E3A8736-DBD6-4EEF-AF38-B2F8F9708047,intervalEnd,2022-04-08T02:07:36.233+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,C08E0BE6-410B-48A8-B8E2-40C6458AF7B9,intervalEnd,2022-04-08T02:08:21.852+04:00,access,,,,,,,,,,,
com.apple.mobilemail,bundleID,contacts,B753FBBA-0A1B-4A74-BD86-9872C04D5851,intervalBegin,2022-04-08T02:58:17.086+04:00,access,,,,,,,,,,,
com.apple.mobilecal,bundleID,contacts,E2D11F02-A2B9-405C-93A6-EC049D128568,intervalBegin,2022-04-08T02:58:17.086+04:00,access,,,,,,,,,,,
com.apple.mobilemail,bundleID,contacts,B753FBBA-0A1B-4A74-BD86-9872C04D5851,intervalEnd,2022-04-08T02:59:02.082+04:00,access,,,,,,,,,,,
com.apple.mobilecal,bundleID,contacts,E2D11F02-A2B9-405C-93A6-EC049D128568,intervalEnd,2022-04-08T03:00:36.415+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,1480BC89-84CF-4BA3-9166-4620EDA9A1FA,intervalBegin,2022-04-08T03:05:40.573+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,1480BC89-84CF-4BA3-9166-4620EDA9A1FA,intervalEnd,2022-04-08T03:05:41.285+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,553F9AF3-EF69-4310-A821-385DDC5C31C0,intervalBegin,2022-04-08T03:05:57.233+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,553F9AF3-EF69-4310-A821-385DDC5C31C0,intervalEnd,2022-04-08T03:05:58.013+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,76FAD432-1FA5-4A1E-A785-DB4C6F395B3C,intervalBegin,2022-04-08T03:07:40.979+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,76FAD432-1FA5-4A1E-A785-DB4C6F395B3C,intervalEnd,2022-04-08T03:07:41.950+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,14D2DB3C-4D6C-47FE-88A9-F6FFC0CDF9A5,intervalBegin,2022-04-08T03:09:40.978+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,14D2DB3C-4D6C-47FE-88A9-F6FFC0CDF9A5,intervalEnd,2022-04-08T03:09:41.219+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,E5CB605D-0AF5-479C-B293-47E50354DAC7,intervalBegin,2022-04-08T03:11:40.340+04:00,access,,,,,,,,,,,
com.apple.MobileSMS,bundleID,contacts,4B01A91E-ECE1-4A60-9311-25494F30D493,intervalBegin,2022-04-08T03:11:52.056+04:00,access,,,,,,,,,,,
com.apple.MobileSMS,bundleID,contacts,4B01A91E-ECE1-4A60-9311-25494F30D493,intervalEnd,2022-04-08T03:12:08.523+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,E5CB605D-0AF5-479C-B293-47E50354DAC7,intervalEnd,2022-04-08T03:12:57.997+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,CEFFDFAE-AEAB-4666-A218-0259CC847A58,intervalBegin,2022-04-08T03:28:33.434+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,CEFFDFAE-AEAB-4666-A218-0259CC847A58,intervalEnd,2022-04-08T03:28:33.479+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,E2511C56-4917-4FBE-B920-A4028F9251E9,intervalBegin,2022-04-08T03:28:34.116+04:00,access,,,,,,,,,,,
com.apple.mobilemail,bundleID,contacts,6580865B-E84A-43AC-B658-10DF48327C62,intervalBegin,2022-04-08T03:28:34.116+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,E2511C56-4917-4FBE-B920-A4028F9251E9,intervalEnd,2022-04-08T03:29:03.552+04:00,access,,,,,,,,,,,
com.apple.mobilemail,bundleID,contacts,6580865B-E84A-43AC-B658-10DF48327C62,intervalEnd,2022-04-08T03:29:03.566+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,61B1B106-89D4-48B2-9F62-2EED6CE771CC,intervalBegin,2022-04-08T03:31:40.338+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,61B1B106-89D4-48B2-9F62-2EED6CE771CC,intervalEnd,2022-04-08T03:31:42.070+04:00,access,,,,,,,,,,,
com.apple.mobilecal,bundleID,contacts,52FE0198-8D7F-4C77-BCEC-C25350370D07,intervalBegin,2022-04-08T03:58:28.113+04:00,access,,,,,,,,,,,
