ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,What word best describes this sound? ,On a scale from 1 to 5 how loud was this sound?,What kind of sound is this? ,Other - What kind of sound is this? ,On a scale from 1 to 5 how loud was this sound? (from most faint to loudest),Is there anything else we need to know about this sound? ,Are you outdoors or indoors? ,"What level are you on?  (0 = ground, 9= 9th floor or higher)",x,y
25,81187f0a-c713-45f3-9744-8ede0218ad57,3/29/2022 1:53:47 AM,adsp22_mim7995,3/29/2022 1:53:47 AM,adsp22_mim7995,Construction ,,Machine,,2,,,,54.4345814459606,24.5234557413594
26,c35c902c-6b50-4d4f-98f6-2dbdaae25e42,3/29/2022 3:47:55 AM,adsp22_sl7362,3/29/2022 3:47:55 AM,adsp22_sl7362,Bus sound,,Machine,,2,I hear it periodically,,,54.4329618878697,24.5243402052567
27,26d937c6-bd36-424c-accd-04f9f1c6702b,3/29/2022 4:14:55 AM,adsp22_sl7362,3/29/2022 4:14:55 AM,adsp22_sl7362,Bird Sound,,Natural,,Faint 1,I couldn't find the bitd but I could hear,,,54.43310398298,24.5243383948845
28,d3c2e6db-b5e8-4d33-b8c3-f5b0d420dd86,3/29/2022 4:15:44 AM,adsp22_sl7362,3/29/2022 4:15:44 AM,adsp22_sl7362,Fanning Sound,,Machine,,3,From A2A building,,,54.4330837829386,24.5242258416385
29,72da3508-04f7-473a-a8a4-7f055a73f388,3/29/2022 5:14:23 AM,adsp22_amd1139,3/29/2022 5:14:23 AM,adsp22_amd1139,Coach ,,Human,,2,Football field ,,,54.433079613537,24.5241266431269
30,141b4526-851d-4c46-b7b4-e04f561639b6,3/29/2022 5:23:32 AM,adsp22_ss13750,3/29/2022 5:23:32 AM,adsp22_ss13750,Grill,,Machine,,2,Its the sound from the grill. It has sounds from the metallic instruments and machines.,,,0,0
31,275217ec-cad4-48b6-8566-3d3eb7a51970,3/29/2022 5:34:30 AM,adsp22_po524,3/29/2022 5:34:30 AM,adsp22_po524,Hum,,Machine,,2,A machine in the Lab that is constantly humming really loud and it’s distracting me from the lecture ,,,54.43343734,24.52458572
32,48edfedb-c2c7-49d4-892a-3442406ea300,3/29/2022 5:44:49 AM,adsp22_ka1914,3/29/2022 5:44:49 AM,adsp22_ka1914,Sweeper,,Machine,,Loud 5,"The sweeper machine is moving around, haha",,,54.4342452064523,24.5239457214234
33,f0187c23-6f16-4adf-94ae-0b00514e3ec5,3/29/2022 5:46:16 AM,adsp22_ka1914,3/29/2022 5:46:16 AM,adsp22_ka1914,Birds,,Natural,,3,Birds chirping on the C2 palms,,,54.4341715622882,24.5241060268597
34,d465c220-4baa-40c2-8469-080e845b3da0,3/29/2022 5:50:55 AM,adsp22_ss13750,3/29/2022 5:50:55 AM,adsp22_ss13750,Piano,,Machine,,2,Person playing piano in the arts center,,,0,0
35,5054e496-3f1d-4585-8de5-e0606e6e65d7,3/29/2022 5:52:14 AM,adsp22_ka1914,3/29/2022 5:52:14 AM,adsp22_ka1914,Skateboard,,Human,,Faint 1,"Some students ride their penny boards and skateboard to navigate through campus, and it’s particularly noticeable in front of C2 since it’s at the crossroads of campus. ",,,54.4342142845136,24.5239306992189
36,f12035fa-43cf-424d-873a-6c9152ca557d,3/29/2022 4:13:55 PM,adsp22_as13966,3/29/2022 4:13:55 PM,adsp22_as13966,Keyboard clicking,,Machine,,2,Mechanical keyboard,Indoors,3,54.4342493489382,24.524178665028
37,65768d5f-6b73-470b-94ec-808a60d850e4,3/30/2022 7:55:24 AM,adsp22_as13966,3/30/2022 7:55:24 AM,adsp22_as13966,Air freshener ,,,,3,,Indoors,0,54.4351158200258,24.5233002359162
38,ac31166d-43c1-4901-a156-e04be9d85250,3/30/2022 5:39:05 PM,adsp22_po524,3/30/2022 5:39:05 PM,adsp22_po524,Machine Hum,,Machine,,2,Machine hum from an old experiment apparatus in the ERB,Indoors,0,54.43302917,24.5251255
39,23b49542-506e-4fc7-99dd-045d5d838cf3,3/30/2022 7:12:51 PM,adsp22_as13966,3/30/2022 7:12:51 PM,adsp22_as13966,Students typing,,Machine,,3,Keyboard clicking,Indoors,3,54.4342718648676,24.5240532379931
40,2b87f887-721e-4f7c-a2d9-a2a706cca8da,3/30/2022 7:48:58 PM,adsp22_sl7362,3/30/2022 7:48:58 PM,adsp22_sl7362,Fan sound ,,Machine,,Faint 1,The sound may be from water filter,Indoors,1,54.4346616031741,24.5242620253635
41,a5f7fb61-519a-44dd-bff7-f1df292e094f,3/30/2022 7:51:35 PM,adsp22_sl7362,3/30/2022 7:51:35 PM,adsp22_sl7362,Pingpong,,other,Pingpong sound,2,,Indoors,2,54.4345604420975,24.5241043559039
42,247e98d7-d779-41ff-bffb-f023f7215e4f,3/30/2022 7:52:33 PM,adsp22_sl7362,3/30/2022 7:52:33 PM,adsp22_sl7362,Flipflop sliding,,Human,,Faint 1,,Indoors,2,54.434697747422,24.5242928001245
43,2f37e7ad-a46a-4935-a2f4-36b4ace29971,3/30/2022 7:53:26 PM,adsp22_sl7362,3/30/2022 7:53:26 PM,adsp22_sl7362,Water filter,,Machine,,Faint 1,,Indoors,2,54.4345395657021,24.5241811188146
44,e3ad9696-c48b-4f4c-9ac1-0d579b2e83c6,3/30/2022 7:55:24 PM,adsp22_sl7362,3/30/2022 7:55:24 PM,adsp22_sl7362,Crickets,,Natural,,Faint 1,,Outdoors,2,54.4344053157067,24.5241196938112
45,b4344b9f-4266-48ba-9d73-6e6fe7bb8768,3/30/2022 7:56:02 PM,adsp22_sl7362,3/30/2022 7:56:02 PM,adsp22_sl7362,Hvac,,Machine,,Faint 1,,Outdoors,2,54.4349464074963,24.5236857845148
46,be23491a-86cf-42a3-bee5-fb5d9bc0aa59,3/30/2022 7:56:22 PM,adsp22_sl7362,3/30/2022 7:56:22 PM,adsp22_sl7362,Plane,,Machine,,3,,Outdoors,2,54.4348938059338,24.5237256010131
47,3727469d-fb6f-4a97-9ca5-1f979120b879,3/30/2022 8:31:38 PM,adsp22_as13966,3/30/2022 8:31:38 PM,adsp22_as13966,Birthday Party,,Human,,4,Friends birthday,Indoors,2,54.4351583230617,24.5233860405096
48,1b694ea1-85bb-4330-a9b7-67fd8bbdca08,3/30/2022 8:48:03 PM,adsp22_gkm267,3/30/2022 8:48:03 PM,adsp22_gkm267,AC,,Machine,,3,,,,54.4355583907012,24.5221025053181
49,108e858b-1eb1-4bdb-b223-63e57a6a6115,3/31/2022 4:19:20 PM,adsp22_gkm267,3/31/2022 4:19:20 PM,adsp22_gkm267,Crowd,,Human,,3,,Indoors,0,54.4355497476088,24.5226162320041
50,ef53bce6-e4a3-4f29-960b-daabd41f7a8c,4/3/2022 6:04:57 PM,adsp22_ss13189,4/3/2022 6:04:57 PM,adsp22_ss13189,buzz,,Machine,,3,,Indoors,3,54.4349574,24.5229462
51,999dd4a3-b8ef-4ba4-86ed-50dcb718916b,4/3/2022 8:43:21 PM,adsp22_po524,4/3/2022 8:43:21 PM,adsp22_po524,Paper bag,,Human,,2,It is the sound a paper bag makes when you try to take something out of it,Indoors,0,54.4324358793639,24.5249033860878
52,7b43c551-28a7-427c-b52f-e2723e4ddbca,4/4/2022 6:55:19 AM,adsp22_ss13189,4/4/2022 6:55:19 AM,adsp22_ss13189,calls,,Human,,2,,Indoors,3,54.434375,24.5241359
53,8aebaf38-84df-4f1a-a92b-4354ad3eb94f,4/4/2022 6:55:42 AM,adsp22_ss13189,4/4/2022 6:55:42 AM,adsp22_ss13189,footsteps,,Human,,Faint 1,,Indoors,3,54.4343779,24.5241289
54,f28a0489-a775-498d-8e5b-ee57a6f464ff,4/4/2022 6:21:01 PM,adsp22_met448,4/4/2022 6:21:01 PM,adsp22_met448,Scattered,,Human,,3,,Indoors,4,0,0
55,8086f70a-1726-4abe-80e6-47ee83b903e8,4/4/2022 6:22:13 PM,adsp22_met448,4/4/2022 6:22:13 PM,adsp22_met448,Thumping,,Machine,,4,,Indoors,4,0,0
56,31e46190-11a4-4391-994f-a127132e6536,4/5/2022 5:01:20 AM,adsp22_mim7995,4/5/2022 5:01:20 AM,adsp22_mim7995,Birds chirping ,,Natural,,4,At the palms ,,,54.4338352766289,24.5239068022375
57,a59012a7-1038-4851-8379-e7158ae714f7,4/5/2022 11:01:43 AM,adsp22_mf3846,4/28/2022 9:49:45 AM,adsp22_mf3846,distant fire alarm,,Machine,,3,location: A2 classroom (my laptop doesn't know though),Indoors,0,54.4338333606582,24.5242260952055
